label,GDP Per Capita
2022,104038.9
2021,100172.1
2020,83812.80297
2019,80778.82961
2018,79297.7292
2017,70413.12183
2016,62993.7451
2015,62000.11881
2014,55586.9626
2013,51577.27936
2012,48914.61753
2011,51886.50849
2010,48698.16532
2009,52008.72824
2008,61213.30652
2007,61337.17962
2006,54283.06472
2005,50891.34809
2004,47644.93209
2003,41100.65954
2002,32540.26324
2001,28239.59661
2000,26246.16882
1999,26294.69268
1998,24273.93386
1997,22541.42873
1996,20834.71922
1995,19161.45976
1994,15905.42259
1993,14659.35895
1992,15716.84779
1991,14089.41607
1990,14033.50187
1989,11177.56831
1988,10717.55031
1987,9583.41509
1986,8113.4429
1985,6012.677833
1984,5692.91963
1983,5916.169066
1982,6161.604174
1981,5987.09241
1980,6373.436937
1979,5430.81338
1978,4400.676295
1977,3427.610455
1976,2920.040691
1975,2973.866039
1974,2517.322058
1973,2424.649178
1972,2080.791586
1971,1704.199276
1970,1486.747802
1969,1291.34992
1968,1124.516636
1967,1152.004952
1966,1074.506506
1965,1023.773726
1964,965.1354227
1963,852.1353017
1962,797.0062884
1961,739.2764064
1960,685.6147124
